recID,CountryName,CountryCode,pop_2013,lat,lon
122,Monaco,MCO,37831,43.73287,7.41754
123,Moldova,MDA,3559000,47.02462,28.83244
124,Madagascar,MDG,22924851,-18.90428,47.52354
125,Maldives,MDV,345023,4.17525,73.50928
126,Mexico,MEX,122332399,19.43196,-99.13313
127,Marshall Islands,MHL,52634,7.0862,171.84685
128,"Macedonia, FYR",MKD,2107158,41.99474,21.42999
129,Mali,MLI,15301650,12.65032,-8.00004
130,Malta,MLT,423282,35.89353,14.51179
131,Myanmar,MMR,53259018,19.73399,96.19876
132,Montenegro,MNE,621383,42.43544,19.26391
133,Mongolia,MNG,2839073,47.9221,106.91772
134,Northern Mariana Islands,MNP,53855,15.20754,145.7211
135,Mozambique,MOZ,25833752,-25.97446,32.57323
136,Mauritania,MRT,3889880,18.09194,-15.97248
137,Mauritius,MUS,1296303,-20.16389,57.4985
138,Malawi,MWI,16362567,-13.91437,33.78427
139,Malaysia,MYS,29716965,3.14777,101.69403
141,Namibia,NAM,2303315,-22.57159,17.09075
142,New Caledonia,NCL,262000,-21.23549,165.2438
143,Niger,NER,17831270,13.51633,2.11627
144,Nigeria,NGA,173615345,9.0631,7.46179
145,Nicaragua,NIC,6080478,12.11721,-86.24079
146,Netherlands,NLD,16804224,52.3731,4.89329
147,Norway,NOR,5084190,59.9123,10.75
148,Nepal,NPL,27797457,27.69335,85.32233
149,New Zealand,NZL,4470800,-41.28948,174.77696
150,Oman,OMN,3632444,22.0906,57.0988
151,Pakistan,PAK,182142594,33.70768,73.07048
152,Panama,PAN,3864170,8.4118,-81.1375
153,Peru,PER,30375603,-7.4554,-76.4849
154,Philippines,PHL,98393574,17.0167,121.1449
155,Palau,PLW,20918,7.50136,134.62193
156,Papua New Guinea,PNG,7321262,-6.65409,144.3563
157,Poland,POL,38530725,52.22875,21.00625
158,Puerto Rico,PRI,3615086,18.2682,-66.5557
159,"Korea, Dem. Rep.",PRK,24895480,39.9949,126.4826
160,Portugal,PRT,10459806,40.6867,-7.8904
161,Paraguay,PRY,6802295,-25.29738,-57.62775
162,French Polynesia,PYF,276831,-9.77945,-139.00647
163,Qatar,QAT,2168673,25.1724,51.1925
164,Romania,ROU,19963581,44.4343,26.10296
165,Russia,RUS,143499861,55.75697,37.61502
166,Rwanda,RWA,11776522,-1.94509,30.06404
168,Saudi Arabia,SAU,28828870,24.6473,46.71468
169,Sudan,SDN,37964306,15.60867,32.53578
170,Senegal,SEN,14133280,15.0421,-15.0882
171,Singapore,SGP,5399200,1.29017,103.852
172,Solomon Islands,SLB,561231,-9.5984,160.14834
173,Sierra Leone,SLE,6092075,8.46502,-11.88553
174,El Salvador,SLV,6340454,13.69966,-89.20681
175,San Marino,SMR,31448,43.9393,12.44254
176,Somalia,SOM,10495583,3.3303,44.8747
177,Serbia,SRB,7163976,44.8131,20.46326
178,South Sudan,SSD,11296173,4.83973,31.59724
